Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,plate_id,well_id,is_primary_value,is_dilution,inhibition_testing,LoD_testing,note,inhib_dCt2,,,,,,,,,,
B7,FALSE,2x_ C_S68_060920_1,N1 Twist man,FAM,Unknown,37.16503735,4.309458295,100,100_B7,N,Y,N,,,,,,,,,,,,,
H7,FALSE,10x_E_Inf_070520_1,N1 Twist man,FAM,Unknown,36.8518441,4.420071194,96,96_H7,N,Y,N,,,,,,,,,,,,,
G12,FALSE,5x_C_ADA_063020_3,N1 Twist man,FAM,Unknown,36.79136494,4.604946403,96,96_G12,N,Y,N,,,,,,,,,,,,,
G5,FALSE,5x_C_S68_071420_1,N1 Twist man,FAM,Unknown,36.77362931,4.66061354,96,96_G5,N,Y,N,,,,,,,,,,,,,
D9,FALSE,10x_ C_S68_063020_1,N1 Twist man,FAM,Unknown,36.74057557,4.766161822,96,96_D9,N,Y,N,,,,,,,,,,,,,
G8,FALSE,5x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,36.0436523,4.827852439,102,102_G8,N,Y,N,,,,,,,,,,,,,
D11,FALSE,10x_ C_S68_081120_4,N1 Twist man,FAM,Unknown,36.71876291,4.837120595,96,96_D11,N,Y,N,,,,,,,,,,,,,
G11,FALSE,5x_C_ADA_063020_3,N1 Twist man,FAM,Unknown,36.6803933,4.964514036,96,96_G11,N,Y,N,,,,,,,,,,,,,
H8,FALSE,10x_E_Inf_070520_1,N1 Twist man,FAM,Unknown,36.6660094,5.013130891,96,96_H8,N,Y,N,,,,,,,,,,,,,
E11,FALSE,1x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,36.86750453,5.253962386,100,100_E11,N,Y,N,,,,,,,,,,,,,
E10,FALSE,1x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,36.82949067,5.388685546,100,100_E10,N,Y,N,,,,,,,,,,,,,
D10,FALSE,J_UCV_081320_1,Xeno IPC man,VIC,Unknown,30.763813,5.5965366,80,80_D10,N,N,N,,,,,,,,,,,,,
H9,FALSE,10x_C_ADA_090920_4,Xeno IPC man,VIC,Unknown,32.7866095,5.62393874,102,102_H9,N,Y,N,,,,,,,,,,,,,
H8,FALSE,10x_C_ADA_090920_4,Xeno IPC man,VIC,Unknown,32.79029468,5.680356385,102,102_H8,N,Y,N,,,,,,,,,,,,,
C5,FALSE,C_ADA_090920_4,N1 Twist man,FAM,Unknown,37.28104965,5.703185646,99,99_C5,N,N,N,,,,,,,,,,,,,
G5,FALSE,5x_C_S68_060220_1,N1 Twist man,FAM,Unknown,36.73801985,5.727191042,100,100_G5,N,N,N,,,,,,,,,,,,,
E9,FALSE,1x_E_Inf_070520_1,N1 Twist man,FAM,Unknown,36.44575905,5.819896263,96,96_E9,N,Y,N,,,,,,,,,,,,,
C5,FALSE,5x_C_N49_090120_4,N1 Twist man,FAM,Unknown,36.640433,6.11180688,100,100_C5,N,Y,N,,,,,,,,,,,,,
F9,FALSE,2x_E_Inf_070520_1,N1 Twist man,FAM,Unknown,36.36816987,6.13401724,96,96_F9,N,Y,N,,,,,,,,,,,,,
H9,FALSE,10x_C_S68_071420_1,N1 Twist man,FAM,Unknown,36.56312789,6.434738177,100,100_H9,N,Y,N,,,,,,,,,,,,,
F5,FALSE,C_S68_060220_1,N1 Twist man,FAM,Unknown,36.6194854,6.48817335,92,92_F5,N,N,N,,,,,,,,,,,,,
B8,FALSE,2x_ C_S68_063020_1,N1 Twist man,FAM,Unknown,36.2030897,6.859903142,96,96_B8,N,Y,N,,,,,,,,,,,,,
F7,FALSE,2x_E_Inf_070520_1,N1 Twist man,FAM,Unknown,36.20117765,6.868795444,96,96_F7,N,Y,N,,,,,,,,,,,,,
D7,FALSE,10x_ C_S68_060920_1,N1 Twist man,FAM,Unknown,36.45704751,6.905826593,100,100_D7,N,Y,N,,,,,,,,,,,,,
H11,FALSE,10x_C_ADA_063020_3,N1 Twist man,FAM,Unknown,36.17688828,6.982765512,96,96_H11,N,Y,N,,,,,,,,,,,,,
H7,FALSE,10x_C_ADA_090920_4,Xeno IPC man,VIC,Unknown,32.86945018,7.038639741,102,102_H7,N,Y,N,,,,,,,,,,,,,
G12,FALSE,5x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,36.41059705,7.122819193,100,100_G12,N,Y,N,,,,,,,,,,,,,
D7,FALSE,10x_ C_S68_063020_1,N1 Twist man,FAM,Unknown,36.14293153,7.145273407,96,96_D7,N,Y,N,,,,,,,,,,,,,
D4,FALSE,10x_C_N49_081120_4,N1 Twist man,FAM,Unknown,36.13757467,7.171253058,96,96_D4,N,Y,N,,,,,,,,,,,,,
H11,FALSE,10x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,36.3886851,7.22753437,100,100_H11,N,Y,N,,,,,,,,,,,,,
C8,FALSE,5x_ C_S68_063020_1,N1 Twist man,FAM,Unknown,36.09697679,7.371239442,96,96_C8,N,Y,N,,,,,,,,,,,,,
F6,FALSE,2x_E_INF_091420_4,N1 Twist man,FAM,Unknown,37.1923434,7.529319533,101,101_F6,N,Y,N,,,,,,,,,,,,,
A3,FALSE,NTC,Xeno IPC man,VIC,Negative Control,32.0775537,,88,88_A3,Y,N,N,,,,,,,,,,,,,
F10,FALSE,J_UCV_082720_2,N1 IVT man,FAM,Unknown,36.420326,7.564582,80,80_F10,N,N,N,,,,,,,,,,,,,
A1,FALSE,NTC,N1 Twist man,FAM,Negative Control,Undetermined,,87,87_A1,Y,N,N,,,,,,,,,,,,,
G10,FALSE,5x_C_ADA_063020_3,N1 Twist man,FAM,Unknown,36.01175219,7.809386254,96,96_G10,N,Y,N,,,,,,,,,,,,,
C11,FALSE,5x_ C_S68_081120_4,N1 Twist man,FAM,Unknown,35.99651323,7.890432277,96,96_C11,N,Y,N,,,,,,,,,,,,,
H11,FALSE,J_UCV_091020_1,Xeno IPC man,VIC,Unknown,30.722979,7.9217777,80,80_H11,N,N,N,,,,,,,,,,,,,
G5,FALSE,5x_E_INF_091420_4,N1 Twist man,FAM,Unknown,37.03991303,8.320270661,101,101_G5,N,Y,N,,,,,,,,,,,,,
